perm,spearman,kendall,probe_r2,monotone_fraction,midpoint_residual_median,pc1_frac_centroids
68,0.1665028796,0.1279791847,-0.1953992987,0.2638888889,0.8504960056,0.7639875007
69,-0.02246106568,-0.01768133473,-0.6344579127,0.3194444444,0.8488752901,0.5400857228
70,0.03792009874,0.02957413725,-0.4252993575,0.3333333333,0.8335858716,0.5524250861
71,0.2170630112,0.1672359576,-0.4434153876,0.3472222222,0.7968431929,0.7995048854
72,-0.1783244931,-0.1386090347,-0.7239132167,0.2361111111,0.8849837581,0.6750746063
73,-0.1843262353,-0.1425031382,-0.4432397775,0.4027777778,0.8260237262,0.6402498558
74,0.08738900452,0.06798894187,-0.3288838075,0.2777777778,0.8972729524,0.5235870912
75,0.04974171225,0.03936201898,-0.3019962342,0.2638888889,0.8287702995,0.7373227003
76,0.1085769734,0.08346010975,-0.2034273716,0.25,0.8675697119,0.6577895597
77,-0.08893490783,-0.06788369583,-0.3651698147,0.3333333333,0.87151643,0.5748522311
78,-0.1053942313,-0.07998699043,-0.6569012454,0.2777777778,0.8592864529,0.5614529752
79,0.04874142188,0.03494168529,-0.3033481425,0.2638888889,0.8888442204,0.6856084197
80,0.01300377487,0.008314437163,-0.7123453781,0.2916666667,0.8889747628,0.7275137094
81,-0.01318564584,-0.01084034212,-0.5777519042,0.375,0.8616604785,0.5455101173
82,-0.119489232,-0.091985039,-0.3745199297,0.3472222222,0.8507195104,0.5406038477
83,-0.04901422834,-0.03852005066,-0.3852064976,0.2361111111,0.8593562891,0.5495544698
84,-0.143496201,-0.1106135881,-0.4801774973,0.4722222222,0.8919406238,0.7377181406
85,0.04419464745,0.03609939173,-0.3827074983,0.2361111111,0.895715713,0.6399711952
86,0.107576683,0.08230240331,-0.3662063843,0.2916666667,0.8539818587,0.6888968438
87,0.2916301119,0.2273314465,-0.3102853233,0.2916666667,0.8602536946,0.8561301067
88,-0.1103047476,-0.08567027659,-0.3288204559,0.4305555556,0.8502791657,0.6440162519
89,-0.1168521028,-0.0904063484,-0.5396167615,0.2777777778,0.8213493212,0.567181104
90,0.02382509801,0.01736559661,-0.3846403552,0.4305555556,0.8928765715,0.6253170878
91,-0.1616832987,-0.1246113114,-0.4917335103,0.4166666667,0.8661621256,0.5849677163
92,0.08529748829,0.06441057651,-0.6046598044,0.3055555556,0.7973447262,0.6956957079
93,0.009911968255,0.003999349522,-0.8418761555,0.1944444444,0.8734196867,0.5772218166
94,0.09675535985,0.07546141071,-0.3412665009,0.2638888889,0.8154878214,0.705232013
95,0.01236722645,0.01041935796,-0.6684127839,0.3055555556,0.8960981454,0.5973016096
96,-0.003910226009,-0.003367873281,-0.3436410881,0.3055555556,0.8567095166,0.5437449955
97,-0.1701402991,-0.1319785342,-1.001263551,0.2777777778,0.8666937854,0.52804584
98,-0.01373125878,-0.01062985004,-0.1779266402,0.25,0.8335858716,0.5471766286
99,-0.08466093987,-0.06577877503,-0.2773792927,0.4444444444,0.8531238983,0.576160575
