perm,spearman,kendall,probe_r2,monotone_fraction,midpoint_residual_median,pc1_frac_centroids
46,-0.02609848522,-0.02104920801,-0.4555757434,0.375,0.8182667938,0.5718229016
47,0.1103956831,0.08440732411,-0.3207643902,0.2777777778,0.8141436645,0.6572182724
48,-0.139040362,-0.1096663737,-0.3701568108,0.3333333333,0.8284231662,0.5530758288
49,0.04173938926,0.03283676449,-0.4532087308,0.2777777778,0.8472289265,0.5744983388
50,0.02100609786,0.01662887433,-0.7141407087,0.3194444444,0.8334184868,0.650195233
51,-0.1847809128,-0.1439765828,-0.5353679983,0.3333333333,0.8467460769,0.5581921035
52,0.02164264628,0.01704985849,-0.3951886133,0.2222222222,0.8137710271,0.5900816456
53,-0.2382509801,-0.1850225384,-0.2985821689,0.3611111111,0.8050677847,0.6049078627
54,0.103484586,0.08072371271,-0.2448748146,0.2916666667,0.8292594728,0.5852875301
55,-0.3639238253,-0.2834275858,-0.7440312031,0.4444444444,0.8129171811,0.7570940746
56,-0.02809906597,-0.02031248573,-0.3202793868,0.2638888889,0.8292594728,0.6261351293
57,0.04583148624,0.03567840757,-0.5476056731,0.25,0.8410897263,0.5851185595
58,-0.1418593622,-0.1098768658,-0.4307882874,0.3333333333,0.7812280228,0.648209551
59,0.09002613369,0.06588402107,-0.4500154948,0.2777777778,0.8804901143,0.6002532852
60,-0.002091516237,-0.002315412881,-0.4013088603,0.3333333333,0.8135921256,0.5530801639
61,0.1190345545,0.09440569792,-0.4288888064,0.25,0.8243210068,0.5773216566
62,0.04674084113,0.03652037589,-0.5513465147,0.3055555556,0.8199466199,0.6337722516
63,0.1139421672,0.08819618155,-0.3663469159,0.3055555556,0.8592063878,0.6153662438
64,-0.1079404249,-0.08567027659,-0.3615913062,0.4444444444,0.8226415731,0.6492900427
65,0.1516803949,0.1158758901,-0.2809967022,0.2638888889,0.9227131835,0.7037577366
66,0.1403134589,0.1056670242,-0.307743137,0.2777777778,0.8389076062,0.5452418629
67,-0.0358285825,-0.02610101793,-0.6318452518,0.2638888889,0.8568942436,0.5117014329
68,0.2148805595,0.1599739809,-0.2548577602,0.2777777778,0.8568942436,0.8015738628
69,-0.0644732614,-0.05136006754,-0.5472875058,0.3611111111,0.7948064841,0.6132673908
70,-0.1079404249,-0.08367060183,-0.5370741714,0.3611111111,0.7881604055,0.5920752147
71,0.2744433045,0.2110183103,-0.3099618583,0.3333333333,0.7970960066,0.7957905211
72,-0.1420412332,-0.1074562069,-0.6441387968,0.2638888889,0.8829280877,0.6501204858
73,-0.163229202,-0.1268214783,-0.6263991713,0.2916666667,0.8414664369,0.5360174366
74,-0.05701655134,-0.04483481306,-0.4728187098,0.3472222222,0.9278788318,0.6290322102
75,0.09748284376,0.07598764091,-0.3183009529,0.2777777778,0.8185321645,0.7253217011
76,0.05074200263,0.03830955858,-0.2680618299,0.25,0.8288654731,0.5900156809
77,0.06838348741,0.05220203586,-0.35730495,0.25,0.888082549,0.6374356831
78,0.0572893578,0.0449400591,-0.5140599274,0.3194444444,0.8250518468,0.5554011913
79,0.09275419835,0.07209353743,-0.8707859079,0.2916666667,0.8572828987,0.5822049964
80,-0.03373706626,-0.02715347833,-0.5993900576,0.3194444444,0.8409166738,0.6274884825
81,0.02282480763,0.01736559661,-0.272187055,0.4166666667,0.8379747215,0.5924529675
82,-0.0676560035,-0.05083383734,-0.3757988077,0.375,0.8469542849,0.589167383
83,0.02909935635,0.02336462089,-0.2859737945,0.3333333333,0.8698050435,0.5902738388
84,-0.03510109859,-0.02568003377,-0.5892666248,0.3333333333,0.8510617142,0.5679525302
85,-0.03719261483,-0.02862692289,-0.3955173864,0.25,0.8782759749,0.6428658773
86,0.08511561731,0.06472631463,-0.4844220864,0.2638888889,0.8322047972,0.6427860697
87,0.3310051784,0.2579580441,-0.203049469,0.3194444444,0.9125869284,0.8237855118
88,-0.1463152011,-0.1133499851,-0.7222535736,0.3472222222,0.8170179188,0.573012291
89,-0.2444345933,-0.1903900864,-0.6825464673,0.25,0.8358511851,0.5833352916
90,-0.01336751682,-0.010524604,-0.3137924414,0.2916666667,0.8185321645,0.5713397702
